names,ratings,voter_num
Fullmetal Alchemist (TV),8.73,13420
Death Note (TV),8.87,12883
Cowboy Bebop (TV),8.93,12216
Spirited Away (movie),8.97,10518
Princess Mononoke (movie),8.93,9816
<small>(The)</small> Melancholy of Haruhi Suzumiya (TV),8.56,10165
Elfen Lied (TV),8.30,10448
Neon Genesis Evangelion (TV),8.32,10204
Code Geass: Lelouch of the Rebellion (TV),8.86,9152
Bleach (TV),7.95,9159
FLCL (OAV),8.18,8690
Code Geass: Lelouch of the Rebellion R2 (TV),9.02,7841
Naruto (TV),7.52,9287
Samurai Champloo (TV),8.53,7932
Trigun (TV),8.37,7974
Gurren Lagann (TV),8.74,6958
Rurouni Kenshin: Trust & Betrayal (OAV),8.92,6643
Howl's Moving Castle (movie),8.62,6811
Full Metal Panic! (TV),8.13,7219
Ouran High School Host Club (TV),8.53,6708
Clannad (TV),8.60,6204
Fullmetal Alchemist: Brotherhood (TV),9.11,5775
Fruits Basket (TV),8.14,6367
Chobits (TV),7.64,6653
Akira (movie),7.94,6386
Cowboy Bebop: The Movie,8.44,6009
Full Metal Panic? Fumoffu (TV),8.40,6035
5 Centimeters Per Second (movie),8.70,5761
Rurouni Kenshin (TV),8.36,5954
<small>(The)</small> Girl Who Leapt Through Time (movie),8.67,5525
Ghost in the Shell (movie),8.22,5772
Final Fantasy VII: Advent Children (movie),8.01,5875
Hellsing (TV),7.65,6150
Azumanga Daioh (TV),8.38,5553
Clannad After Story (TV),8.95,5170
Fullmetal Alchemist: The Movie - Conqueror of Shamballa,8.00,5666
Ghost in the Shell: Stand Alone Complex (TV),8.50,5177
Mushi-Shi (TV),8.80,4990
Darker than Black (TV),8.30,5275
Nausicaä of the Valley of the Wind (movie),8.68,5042
Fate/stay night (TV),7.52,5818
Claymore (TV),8.17,5281
Inuyasha (TV),7.29,5833
Steins;Gate (TV),9.14,4625
Full Metal Panic! The Second Raid (TV),8.43,4982
Toradora! (TV),8.48,4920
Castle in the Sky (movie),8.53,4869
Blood+ (TV),7.98,5205
Black Lagoon (TV),8.30,4995
Angel Beats! (TV),8.56,4780
